Input Line,Processed Line,Digits in Line,Calibration Value
3fiveone,351,"3, 5, 1",31
eightnineseventwo1seven,8nineseventwo17,"8, 1, 7",87
9h1xcrcggtwo38,9h1xcrcgg238,"9, 1, 2, 3, 8",98
nine4pvtl,94pvtl,"9, 4",94
seven7rsbqpgxtjzsgxssix,77rsbqpgxtjzsgxs6,"7, 7, 6",76
twofivethreepqgsvrszczrthree7,2fivethreepqgsvrszczr37,"2, 3, 7",27
44qcrkvr1two,44qcrkvr12,"4, 4, 1, 2",42
zstrmphtxdvdpsnhpnq4threenbjznsb,zstrmphtxdvdpsnhpnq43nbjznsb,"4, 3",43
bhgxhb41eight,bhgxhb418,"4, 1, 8",48
qhstsbxsspsrfourmtvtnfhxlj699one,qhstsbxsspsr4mtvtnfhxlj6991,"4, 6, 9, 9, 1",41
onekvhgkeighteight6two7ninelnfzbr,1kvhgkeighteight6two79lnfzbr,"1, 6, 7, 9",19
xsixz5six3gfqrzmpnjgskd6,x6z563gfqrzmpnjgskd6,"6, 5, 6, 3, 6",66
qfrpksmzzvfkddtfh6838,qfrpksmzzvfkddtfh6838,"6, 8, 3, 8",68
mztttgnxdqt4,mztttgnxdqt4,4,44
8threesevenfourgbgteight5twonenjr,83sevenfourgbgteight5tw1njr,"8, 3, 5, 1",81
bpzkn2rbbjtdtlznl,bpzkn2rbbjtdtlznl,2,22
glckqhjsbsznseight5dtnxnsix7,glckqhjsbszns85dtnxn67,"8, 5, 6, 7",87
2shd3ksrtmbs62vvdvhd,2shd3ksrtmbs62vvdvhd,"2, 3, 6, 2",22
9ninemdkkqjzjfour9mzspzjgmlhfq,99mdkkqjzj49mzspzjgmlhfq,"9, 9, 4, 9",99
7twoqjbshcfxldnkc33one83,72qjbshcfxldnkc33183,"7, 2, 3, 3, 1, 8, 3",73
zstxvfdthreeseven7mdfpgzgfourdfshplvqflfprt1,zstxvfd3seven7mdfpgzg4dfshplvqflfprt1,"3, 7, 4, 1",31
9mndn31msfprm1kpk,9mndn31msfprm1kpk,"9, 3, 1, 1",91
tmczplnmrsevenhmhprtllcktpr8eight9,tmczplnmr7hmhprtllcktpr889,"7, 8, 8, 9",79
49nine29917five,499299175,"4, 9, 9, 2, 9, 9, 1, 7, 5",45
6qspssvm8,6qspssvm8,"6, 8",68
7fourninefourcpfgpmxqjsjxmjfntwonine,74ninefourcpfgpmxqjsjxmjfntwo9,"7, 4, 9",79
3nxfjmzhseven22one,3nxfjmzh7221,"3, 7, 2, 2, 1",31
tzgnljxhs9nine1lvqgsix9four,tzgnljxhs991lvqgsix94,"9, 9, 1, 9, 4",94
eightthree9eightfourninexl6gsdhljppfb,8three9eightfour9xl6gsdhljppfb,"8, 9, 9, 6",86
9g,9g,9,99
2xlcvqrxs2eightznzdghnlvcfour8xbzk,2xlcvqrxs28znzdghnlvc48xbzk,"2, 2, 8, 4, 8",28
xgmfqvdbsn7sixnineseven5,xgmfqvdbsn76nine75,"7, 6, 7, 5",75
65zsghsnfbseven9,65zsghsnfb79,"6, 5, 7, 9",69
7skmb5,7skmb5,"7, 5",75
dbvjtf294threefournine,dbvjtf2943four9,"2, 9, 4, 3, 9",29
21hbtcfzbjhsbxlhd,21hbtcfzbjhsbxlhd,"2, 1",21
27four,274,"2, 7, 4",24
jlrthree9four8fourhqnsevenxqlmtsmzt,jlr39four8fourhqn7xqlmtsmzt,"3, 9, 8, 7",37
gjppzpvglfsvdmonercrsn4,gjppzpvglfsvdm1rcrsn4,"1, 4",14
3zzxmhc,3zzxmhc,3,33
ldfgpzjmtcbj3jvsltltjv1eightzrdczhrzpcssrsrxbj,ldfgpzjmtcbj3jvsltltjv18zrdczhrzpcssrsrxbj,"3, 1, 8",38
szblqqfgxhxkk3fourvqnpzf1onesixthree,szblqqfgxhxkk34vqnpzf1onesix3,"3, 4, 1, 3",33
vsb37three,vsb373,"3, 7, 3",33
8kxdcgmpb2sevenjdvc3eight7,8kxdcgmpb27jdvc387,"8, 2, 7, 3, 8, 7",87
kgrsmfghvfivemhxnfiveqzzspmgmsvvghzd1fzcrkzdfsb,kgrsmfghv5mhxn5qzzspmgmsvvghzd1fzcrkzdfsb,"5, 5, 1",51
5mphlhx5dmcxxcpcxsrdzdninethree,5mphlhx5dmcxxcpcxsrdzd93,"5, 5, 9, 3",53
hmqdkgvk4twoeight,hmqdkgvk428,"4, 2, 8",48
2rjxxdcgtq5fivehzslfc,2rjxxdcgtq55hzslfc,"2, 5, 5",25
srqzfsvpfbnsvninetwothree6sixppsmfrtcrxxth,srqzfsvpfbnsv9twothree66ppsmfrtcrxxth,"9, 6, 6",96
4fourtwocdxnzkbznnrf,442cdxnzkbznnrf,"4, 4, 2",42
4six419qpqfvfdpcrqvsjhgsfgrkpfmphseven,46419qpqfvfdpcrqvsjhgsfgrkpfmph7,"4, 6, 4, 1, 9, 7",47
hxdcttl72seven,hxdcttl727,"7, 2, 7",77
qkoneighttwoonesixeightfive2tzmrtpcthreefour,qk1ighttwoonesixeightfive2tzmrtpcthree4,"1, 2, 4",14
bnjqlftwobvsvjqptdp1two94twonej,bnjqlf2bvsvjqptdp1two94tw1j,"2, 1, 9, 4, 1",21
eightninetwo278prrbvmcmf,8nine2278prrbvmcmf,"8, 2, 2, 7, 8",88
seven79two,7792,"7, 7, 9, 2",72
one9bx,19bx,"1, 9",19
cfpbdmjbcd27sixfour,cfpbdmjbcd2764,"2, 7, 6, 4",24
16snbjgjzqxzplxkkclpxzdx,16snbjgjzqxzplxkkclpxzdx,"1, 6",16
3scbbonenine5fivethreenine,3scbb1nine5fivethree9,"3, 1, 5, 9",39
21sixsix68oneninefour,216six68onenine4,"2, 1, 6, 6, 8, 4",24
6ninejmtrp4fivekxgdgj,69jmtrp45kxgdgj,"6, 9, 4, 5",65
6mhlddxbshqbseventhree3two6six,6mhlddxbshqb7three3two66,"6, 7, 3, 6, 6",66
7four8smntchbmj71oneeight6,748smntchbmj71one86,"7, 4, 8, 7, 1, 8, 6",76
six25four196one2,625four19612,"6, 2, 5, 1, 9, 6, 1, 2",62
2foursixftdbhbtd6,246ftdbhbtd6,"2, 4, 6, 6",26
fourfonekfsxdgvglvtrnrrjzmmkzxljm3,4f1kfsxdgvglvtrnrrjzmmkzxljm3,"4, 1, 3",43
3xckjzm,3xckjzm,3,33
six9ssvkh1hdxcxmsptlxgdd8eight,69ssvkh1hdxcxmsptlxgdd88,"6, 9, 1, 8, 8",68
2eightfourone2ninezslhqhdlcp2qxv,28fourone29zslhqhdlcp2qxv,"2, 8, 2, 9, 2",22
7oneclztx7xsxhrhhggfbhzdfgkdfvsqjskmdzj,71clztx7xsxhrhhggfbhzdfgkdfvsqjskmdzj,"7, 1, 7",77
fouronekkxqtrkptqz8,41kkxqtrkptqz8,"4, 1, 8",48
klccbbvbjsix3fivenine,klccbbvbj63five9,"6, 3, 9",69
rjrxdxdz33nine,rjrxdxdz339,"3, 3, 9",39
sevenninen5,79n5,"7, 9, 5",75
nineseveneightlcfrlftwoxlsmrjxnkk7zlzpbzm,9seveneightlcfrlf2xlsmrjxnkk7zlzpbzm,"9, 2, 7",97
rblvkfltqtbm18one7bvkzvvqrlbtf,rblvkfltqtbm1817bvkzvvqrlbtf,"1, 8, 1, 7",17
gdcbszzf6sqldx,gdcbszzf6sqldx,6,66
twoninethree23sixninebnzzjgqrlfktt,2ninethree23six9bnzzjgqrlfktt,"2, 2, 3, 9",29
62ninetwo,6292,"6, 2, 9, 2",62
fourfour44z8,4444z8,"4, 4, 4, 4, 8",48
6qxdvmpkq,6qxdvmpkq,6,66
sixfivesixthree3x,6fivesix33x,"6, 3, 3",63
pcqfxpvb1threefive77,pcqfxpvb13577,"1, 3, 5, 7, 7",17
pncgzkppqqhmzmzjmzsevenxbsggc8,pncgzkppqqhmzmzjmz7xbsggc8,"7, 8",78
fivexxdvpl32rdsix2seven,5xxdvpl32rdsix27,"5, 3, 2, 2, 7",57
9blqpthpvfourfour69bprn,9blqpthpv4469bprn,"9, 4, 4, 6, 9",99
8vxsdfbdjmldkvtkbr4three,8vxsdfbdjmldkvtkbr43,"8, 4, 3",83
threefive8,358,"3, 5, 8",38
ck4p6,ck4p6,"4, 6",46
two9bpeightldmrnzbt,29bp8ldmrnzbt,"2, 9, 8",28
4dpd,4dpd,4,44
one7four6rcvtvfmzmnineq3,17four6rcvtvfmzm9q3,"1, 7, 6, 9, 3",13
4njtvkkstgmbjptcpdpzdfive,4njtvkkstgmbjptcpdpzd5,"4, 5",45
2tsl1sixgfbbpdhxgrfpt,2tsl16gfbbpdhxgrfpt,"2, 1, 6",26
947four5four3fivenine,94745four3five9,"9, 4, 7, 4, 5, 3, 9",99
fivelhtkgjhhzxfp3,5lhtkgjhhzxfp3,"5, 3",53
7one1three4sixmcrjlkzrj,711three46mcrjlkzrj,"7, 1, 1, 4, 6",76
9fourxtzqsjjmxfivehttj15,94xtzqsjjmx5httj15,"9, 4, 5, 1, 5",95
2lqnfrgvdninedrdj,2lqnfrgvd9drdj,"2, 9",29
9rtxjbffmsbsqdrnjjdkb,9rtxjbffmsbsqdrnjjdkb,9,99
twofour8,248,"2, 4, 8",28
1sixfourone,16four1,"1, 6, 1",11
nine1xzpqkfhmzkbqtzh,91xzpqkfhmzkbqtzh,"9, 1",91
bbh9fqrbt94onebdppqmtjlq,bbh9fqrbt941bdppqmtjlq,"9, 9, 4, 1",91
one8nnngz5,18nnngz5,"1, 8, 5",15
vchszvlzpljt1pdv6tqsk6four,vchszvlzpljt1pdv6tqsk64,"1, 6, 6, 4",14
sevensix9qmjkrglh,769qmjkrglh,"7, 6, 9",79
5threenine7fkrtbcsevenjlxrkltp1,53nine7fkrtbc7jlxrkltp1,"5, 3, 7, 7, 1",51
ggrsfivetwothree687two,ggrs5twothree6872,"5, 6, 8, 7, 2",52
jbtdsixthreexxvjbft5,jbtd63xxvjbft5,"6, 3, 5",65
1four2eightseven8one3eightwogrr,142eightseven8one3eigh2grr,"1, 4, 2, 8, 3, 2",12
six6vtltzh65,66vtltzh65,"6, 6, 6, 5",65
7bbxlhgdbrh9sph44sbboneoneightxcn,7bbxlhgdbrh9sph44sbb1on8xcn,"7, 9, 4, 4, 1, 8",78
lptqrf9twofzbmbbkkmt,lptqrf92fzbmbbkkmt,"9, 2",92
1zhxmsevenlnsxmdcpz5one,1zhxm7lnsxmdcpz51,"1, 7, 5, 1",11
63one,631,"6, 3, 1",61
one3ninepcnphxdzvhvmcv846,139pcnphxdzvhvmcv846,"1, 3, 9, 8, 4, 6",16
nkn6eight21one,nkn68211,"6, 8, 2, 1, 1",61
s1cnkm,s1cnkm,1,11
sixone3,613,"6, 1, 3",63
sixbvvmreightonethreesixthree3five,6bvvmreightonethreesixthree35,"6, 3, 5",65
bvbeight5sevensixchfrkjz,bvb85seven6chfrkjz,"8, 5, 6",86
hkfkczqffjmndzseven7fiverklvhv9,hkfkczqffjmndz775rklvhv9,"7, 7, 5, 9",79
rsfccvtl9seven,rsfccvtl97,"9, 7",97
fourczfive5threefive5qj3,4czfive5three55qj3,"4, 5, 5, 5, 3",43
9fivexskp3,95xskp3,"9, 5, 3",93
tsrdgzcvftbvllhvcvzzthreetzzspvvjkrfgn9,tsrdgzcvftbvllhvcvzz3tzzspvvjkrfgn9,"3, 9",39
bv8twotwo9nh,bv8229nh,"8, 2, 2, 9",89
lbksl3cpgzlxjgnrpqslbsknglctwothree,lbksl3cpgzlxjgnrpqslbsknglc23,"3, 2, 3",33
nine9eightqhcdzfcp2,998qhcdzfcp2,"9, 9, 8, 2",92
vckdtskc79threemblqcs3sixndlxfpq8,vckdtskc793mblqcs36ndlxfpq8,"7, 9, 3, 3, 6, 8",78
1ggkrvbpsl9ssix6one8zh,1ggkrvbpsl9s6618zh,"1, 9, 6, 6, 1, 8",18
679one9nzsktvfseighteightwotjm,67919nzsktvfseighteigh2tjm,"6, 7, 9, 1, 9, 2",62
threefive7gfzptnxbvvlzlxbteightglseightworsq,3five7gfzptnxbvvlzlxbteightglseigh2rsq,"3, 7, 2",32
843trvvsxdkfspsixonethreeone,843trvvsxdkfsp6onethree1,"8, 4, 3, 6, 1",81
hsrqmrfvvzkczhphc8147xrrnzldnvr,hsrqmrfvvzkczhphc8147xrrnzldnvr,"8, 1, 4, 7",87
m6six,m66,"6, 6",66
oneccnxglxone29,1ccnxglx129,"1, 1, 2, 9",19
37jvhjvvlbv223mmnrthreesl,37jvhjvvlbv223mmnr3sl,"3, 7, 2, 2, 3, 3",33
bpeight1,bp81,"8, 1",81
twocd8,2cd8,"2, 8",28
4sevensix8twotwohhmzr2,47six8two2hhmzr2,"4, 7, 8, 2, 2",42
djpbjhrcfour5vbpkmsgnjckrkvt7,djpbjhrc45vbpkmsgnjckrkvt7,"4, 5, 7",47
sixnfrlbv8sixrqgmt4qmftxnrmx5,6nfrlbv86rqgmt4qmftxnrmx5,"6, 8, 6, 4, 5",65
sevenzvhhfourchckzrljhfivevjbxxh91six,7zvhhfourchckzrljhfivevjbxxh916,"7, 9, 1, 6",76
eightckclzxbkqmkncvfdxfx84zeight1,8ckclzxbkqmkncvfdxfx84z81,"8, 8, 4, 8, 1",81
9stftdhkbs4,9stftdhkbs4,"9, 4",94
qrpbdqzsjfj3seven21zktlblk,qrpbdqzsjfj3721zktlblk,"3, 7, 2, 1",31
seven87,787,"7, 8, 7",77
lpms5,lpms5,5,55
pdgpscn74s4onelh8,pdgpscn74s41lh8,"7, 4, 4, 1, 8",78
7ljbdfour1tnfive81,7ljbd41tn581,"7, 4, 1, 5, 8, 1",71
3rjlmtdvbr,3rjlmtdvbr,3,33
lnvjkkgjc5,lnvjkkgjc5,5,55
7vxlqgxk5lkfdnsdh3,7vxlqgxk5lkfdnsdh3,"7, 5, 3",73
jlpgttbf35fourthreenine3cdfxbsdgslczvpjssm,jlpgttbf354three93cdfxbsdgslczvpjssm,"3, 5, 4, 9, 3",33
eighttwoplpbcbkltwobvzccbhxndndmgxdf5,8twoplpbcbkl2bvzccbhxndndmgxdf5,"8, 2, 5",85
eightoneeight4,8one84,"8, 8, 4",84
rkfx585,rkfx585,"5, 8, 5",55
9fourfour,944,"9, 4, 4",94
7pxcnjslqgp98sixpkhvqjhjqgeightone,7pxcnjslqgp986pkhvqjhjqgeight1,"7, 9, 8, 6, 1",71
fiveeight1fivehvqrnzxqlkrcmd,5eight15hvqrnzxqlkrcmd,"5, 1, 5",55
sevenvgzkmhst8ninegcgzxkxr4dpdjsmone8,7vgzkmhst8ninegcgzxkxr4dpdjsm18,"7, 8, 4, 1, 8",78
fourgjfncfeightlptffqjhrltngg6,4gjfncf8lptffqjhrltngg6,"4, 8, 6",46
sevenqkjdtxptzbtwo8seven8,7qkjdtxptzbtwo878,"7, 8, 7, 8",78
757ltrfkjzeight57,757ltrfkjz857,"7, 5, 7, 8, 5, 7",77
1twofoursix2xcqkf,12four62xcqkf,"1, 2, 6, 2",12
7ninetjngrkq7npldprkd,79tjngrkq7npldprkd,"7, 9, 7",77
kqcgtnxvjv9,kqcgtnxvjv9,9,99
nsvqdsqzthreeqtzzhpd6xcggbnkxfone5,nsvqdsqz3qtzzhpd6xcggbnkxf15,"3, 6, 1, 5",35
eightzkmbhtmpxxjlfqqvmvmbvgmbtpcbpz1,8zkmbhtmpxxjlfqqvmvmbvgmbtpcbpz1,"8, 1",81
six1tpvs2sixnctjmdlc,61tpvs26nctjmdlc,"6, 1, 2, 6",66
695one92sevenggrsc,6951927ggrsc,"6, 9, 5, 1, 9, 2, 7",67
stpr38onedftngldtx8lrsgfljrc,stpr381dftngldtx8lrsgfljrc,"3, 8, 1, 8",38
1vbzxfive4fivetwotwo7,1vbzx54fivetwo27,"1, 5, 4, 2, 7",17
kdsjx2,kdsjx2,2,22
dntkrpshcmqpgskcgsgvq9,dntkrpshcmqpgskcgsgvq9,9,99
6pskhmkpfive1nmkcvonemdfpqdtvdl,6pskhmkp51nmkcv1mdfpqdtvdl,"6, 5, 1, 1",61
fvfndcnine7khthreehljzshdbkblgm,fvfndc97kh3hljzshdbkblgm,"9, 7, 3",93
eight49rcbnkmdthreegqlgvksvxksqf7,849rcbnkmd3gqlgvksvxksqf7,"8, 4, 9, 3, 7",87
22xsix,22x6,"2, 2, 6",26
twosevenfive72bccn8rbzkfczgssqcg,2seven572bccn8rbzkfczgssqcg,"2, 5, 7, 2, 8",28
two9hclkszjmxonetlgjfive1,29hclkszjmxonetlgj51,"2, 9, 5, 1",21
dgpm6nhzkkqng,dgpm6nhzkkqng,6,66
qrnkpxnn3lltxqxxjzxdkxhlkceight3eightthree,qrnkpxnn3lltxqxxjzxdkxhlkc83eight3,"3, 8, 3, 3",33
two5two4one61,25two4161,"2, 5, 4, 1, 6, 1",21
59ninesix,5996,"5, 9, 9, 6",56
3nineninesevenfour,39nineseven4,"3, 9, 4",34
9cvsx1jzrxhrxshldtbbn9,9cvsx1jzrxhrxshldtbbn9,"9, 1, 9",99
65four,654,"6, 5, 4",64
three738,3738,"3, 7, 3, 8",38
cvj2sevenxrsdqhp,cvj27xrsdqhp,"2, 7",27
p255hztrqj92sevenjlpzm,p255hztrqj927jlpzm,"2, 5, 5, 9, 2, 7",27
qjsdgdjrxdsjdfx7one,qjsdgdjrxdsjdfx71,"7, 1",71
6fivexm1qhxbgcvkvxb,65xm1qhxbgcvkvxb,"6, 5, 1",61
fourxdnpqmjs3bqnzzphp1,4xdnpqmjs3bqnzzphp1,"4, 3, 1",41
7nmrndvq7jnxnlsseven9twonelxb,7nmrndvq7jnxnls79tw1lxb,"7, 7, 7, 9, 1",71
four1sjnh5zkrrlxxj,41sjnh5zkrrlxxj,"4, 1, 5",45
hphshrj3cztfgm23two,hphshrj3cztfgm232,"3, 2, 3, 2",32
1zgvfourninefivetwocllkr,1zgv4ninefive2cllkr,"1, 4, 2",12
1mgqmktstwo,1mgqmkts2,"1, 2",12
5ndrsix5tdmfcjbgvff,5ndr65tdmfcjbgvff,"5, 6, 5",55
4onefive9918eight,41five99188,"4, 1, 9, 9, 1, 8, 8",48
sevendbtcttvmcnljp3threethree1vmsggrpx,7dbtcttvmcnljp3three31vmsggrpx,"7, 3, 3, 1",71
four5llnsvvcrcgd7sevenldffd,45llnsvvcrcgd77ldffd,"4, 5, 7, 7",47
nine2five9fivemfour,92five9fivem4,"9, 2, 9, 4",94
2cpbhssgzfsrhjtq2onefmpdqfivehxvbzpfmg,2cpbhssgzfsrhjtq21fmpdq5hxvbzpfmg,"2, 2, 1, 5",25
spglsevenrtbrkpnrq6,spgl7rtbrkpnrq6,"7, 6",76
bbfqkt5nkfrzl99gxdlzzsb,bbfqkt5nkfrzl99gxdlzzsb,"5, 9, 9",59
6csshxkzkshsxnnineeighttwoclslvdkjkc,6csshxkzkshsxn9eight2clslvdkjkc,"6, 9, 2",62
five9pcb2nine4two4b,59pcb2nine424b,"5, 9, 2, 4, 2, 4",54
brzrd5threendzpvs7ldkjxmpqqr,brzrd53ndzpvs7ldkjxmpqqr,"5, 3, 7",57
one4vdtwo,14vd2,"1, 4, 2",12
fourseven5493dvldshvz,475493dvldshvz,"4, 7, 5, 4, 9, 3",43
1gkmnj,1gkmnj,1,11
ninethree8,938,"9, 3, 8",98
vshbcvtvvf4eightonesix,vshbcvtvvf48one6,"4, 8, 6",46
7nine485eightrmxbrd,794858rmxbrd,"7, 9, 4, 8, 5, 8",78
dctwofour3,dc243,"2, 4, 3",23
18ftwo,18f2,"1, 8, 2",12
twotwo8rzdbgeightthree,2two8rzdbgeight3,"2, 8, 3",23
sevenztlzzn38nine3jtnqjsnine6,7ztlzzn38nine3jtnqjs96,"7, 3, 8, 3, 9, 6",76
14qrvcspxmr4,14qrvcspxmr4,"1, 4, 4",14
783sixxkkhrpqjrt5ninesjflktt1,7836xkkhrpqjrt59sjflktt1,"7, 8, 3, 6, 5, 9, 1",71
73five3,7353,"7, 3, 5, 3",73
nrtwonetlmkldqrcjqrdn6gptzdclninethreenine,nr2netlmkldqrcjqrdn6gptzdclninethree9,"2, 6, 9",29
8sixxqfl,86xqfl,"8, 6",86
sndlpvjr3,sndlpvjr3,3,33
hx5zzlqk1571three,hx5zzlqk15713,"5, 1, 5, 7, 1, 3",53
zvl1,zvl1,1,11
1twotnqcmfqrnr33rrhghsdqddpmbzd,12tnqcmfqrnr33rrhghsdqddpmbzd,"1, 2, 3, 3",13
nine1threevcninetwosix7m,91threevcninetwo67m,"9, 1, 6, 7",97
six2onesix1xqjzczdrl3,62one61xqjzczdrl3,"6, 2, 6, 1, 3",63
15jkhgkfzseven26,15jkhgkfz726,"1, 5, 7, 2, 6",16
fntvfkhfzsfour7onesevenfour,fntvfkhfzs47oneseven4,"4, 7, 4",44
sixone653,61653,"6, 1, 6, 5, 3",63
hnvftxjthnmfive1sevendfnpkpffgj,hnvftxjthnm517dfnpkpffgj,"5, 1, 7",57
rdktwone9fourkklk9rsseven,rdk2ne9fourkklk9rs7,"2, 9, 9, 7",27
2fivefive4eight,25five48,"2, 5, 4, 8",28
vmfour34lpjzbr517nqkthkljv,vm434lpjzbr517nqkthkljv,"4, 3, 4, 5, 1, 7",47
hk9rqtwozr189,hk9rq2zr189,"9, 2, 1, 8, 9",99
fivefive3,553,"5, 5, 3",53
