Input Line,Processed Line,Digits in Line,Calibration Value
svhgqmjgfoureight7twodsmcnjh6mmncjvltp,svhgqmjg4eight72dsmcnjh6mmncjvltp,"4, 7, 2, 6",46
79sixfourdlprglcm,7964dlprglcm,"7, 9, 6, 4",74
five31,531,"5, 3, 1",51
ncnmdbvvhnpqxzkktjzbsqxb42,ncnmdbvvhnpqxzkktjzbsqxb42,"4, 2",42
twoone8mfxc,218mfxc,"2, 1, 8",28
sixtwogxhhvcqpvzjmnltcdskdthree3nvdqeight,6twogxhhvcqpvzjmnltcdskdthree3nvdq8,"6, 3, 8",68
stwone15,s2ne15,"2, 1, 5",25
threethreeghzvvdkd7,33ghzvvdkd7,"3, 3, 7",37
fivesevenr3nj,57r3nj,"5, 7, 3",53
five6rmrccmczninelshone62,56rmrccmczninelsh162,"5, 6, 1, 6, 2",52
8threet4nsrrkhg6bprcjtrpgclp,83t4nsrrkhg6bprcjtrpgclp,"8, 3, 4, 6",86
3twoseven5,3275,"3, 2, 7, 5",35
26twopqtvsks5,262pqtvsks5,"2, 6, 2, 5",25
ninemhgqvchgzgndlone938five,9mhgqvchgzgndlone9385,"9, 9, 3, 8, 5",95
5twoprnvvvfcbninexxfrh2,52prnvvvfcb9xxfrh2,"5, 2, 9, 2",52
6fdpxffv4,6fdpxffv4,"6, 4",64
ninetwo5one6nqngsbqghbphngmone,9two5one6nqngsbqghbphngm1,"9, 5, 6, 1",91
kvqfvnxnine9552,kvqfvnx99552,"9, 9, 5, 5, 2",92
1lmht,1lmht,1,11
6jvngqeightqnp925,6jvngq8qnp925,"6, 8, 9, 2, 5",65
one53rqlbdzfive453xp,153rqlbdz5453xp,"1, 5, 3, 5, 4, 5, 3",13
32gntcntdtcv,32gntcntdtcv,"3, 2",32
6qxdnhpvrcd5fivenpmqb,6qxdnhpvrcd55npmqb,"6, 5, 5",65
sevenninesevenfive9,7nineseven59,"7, 5, 9",79
98svjcb1nine,98svjcb19,"9, 8, 1, 9",99
777ctrsnjzlfbxdzbvckr,777ctrsnjzlfbxdzbvckr,"7, 7, 7",77
6three4onetwofour2five,634onetwofour25,"6, 3, 4, 2, 5",65
27hdhhbv68sevennineclpdtb,27hdhhbv6879clpdtb,"2, 7, 6, 8, 7, 9",29
mknzmjqsp5xd7vdmfkbcfpgst2,mknzmjqsp5xd7vdmfkbcfpgst2,"5, 7, 2",52
39twotwo,3922,"3, 9, 2, 2",32
d78jjxpgrgmpbthreefivezlbvgphnsd,d78jjxpgrgmpb35zlbvgphnsd,"7, 8, 3, 5",75
mcxgg3one7eightrzbdqzvfnvxn,mcxgg3178rzbdqzvfnvxn,"3, 1, 7, 8",38
ncmfng86sevendqscgbmlrjnkvgqmzzfff1,ncmfng867dqscgbmlrjnkvgqmzzfff1,"8, 6, 7, 1",81
fivejlsdtbktwosix3,5jlsdtbktwo63,"5, 6, 3",53
npnxr6five947,npnxr65947,"6, 5, 9, 4, 7",67
2prjccpmn3hfnxpqht8nine5four,2prjccpmn3hfnxpqht8954,"2, 3, 8, 9, 5, 4",24
hfqrqpzfkqllthttmb4kcvfgtmp,hfqrqpzfkqllthttmb4kcvfgtmp,4,44
2fourfour,244,"2, 4, 4",24
6pj9fivenmhdlsx,6pj95nmhdlsx,"6, 9, 5",65
6csv7ninesevenlzgzninesixsthrlvsst,6csv79sevenlzgznine6sthrlvsst,"6, 7, 9, 6",66
7one83,7183,"7, 1, 8, 3",73
7mlrfqmjq47gfgpqgkgmpq72,7mlrfqmjq47gfgpqgkgmpq72,"7, 4, 7, 7, 2",72
six5pnslzjhthfour67kcvgsix,65pnslzjhthfour67kcvg6,"6, 5, 6, 7, 6",66
ninetwothree3,9two33,"9, 3, 3",93
vb91two4two,vb91242,"9, 1, 2, 4, 2",92
eightdqmnsxlhhkz44two,8dqmnsxlhhkz442,"8, 4, 4, 2",82
trzzone6tcvrsznine7kdctnine,trzz16tcvrsznine7kdct9,"1, 6, 7, 9",19
nineninefdfnxsixnrq2ninezrn,9ninefdfnxsixnrq29zrn,"9, 2, 9",99
bl79eight59,bl79859,"7, 9, 8, 5, 9",79
jvjxkgjrbqdmnzk432sixmblqqmpn,jvjxkgjrbqdmnzk4326mblqqmpn,"4, 3, 2, 6",46
two39hthree7,239h37,"2, 3, 9, 3, 7",27
tdlcjpj5jhslsgfcx,tdlcjpj5jhslsgfcx,5,55
4two9jzdfzbbp,429jzdfzbbp,"4, 2, 9",49
9six7gtbk15vqzhhsbtxgmcx,967gtbk15vqzhhsbtxgmcx,"9, 6, 7, 1, 5",95
7vptsbpmq1,7vptsbpmq1,"7, 1",71
59nsfbgxkvphnqvt,59nsfbgxkvphnqvt,"5, 9",59
dmffndtn9,dmffndtn9,9,99
gzfnfsrdmrgtrbbsfive586xhrc,gzfnfsrdmrgtrbbs5586xhrc,"5, 5, 8, 6",56
cxvgfjjvbtlvkpsgsknine4jjgntjjzgfqrmlfbx4six,cxvgfjjvbtlvkpsgsk94jjgntjjzgfqrmlfbx46,"9, 4, 4, 6",96
3tszbt1six3,3tszbt163,"3, 1, 6, 3",33
ptjjhztq9eightseven,ptjjhztq987,"9, 8, 7",97
zglcldrtwo5fqhvmfivesevenxvkxl9,zglcldr25fqhvmfive7xvkxl9,"2, 5, 7, 9",29
sevenonephscj3foursix2,7onephscj3four62,"7, 3, 6, 2",72
ninelgclbhv37,9lgclbhv37,"9, 3, 7",97
fczvmgkzbm2jnzbgxhqmzoneqsrdj61,fczvmgkzbm2jnzbgxhqmz1qsrdj61,"2, 1, 6, 1",21
1v8hpchzrvnzfbxninencjqdtqvgl,1v8hpchzrvnzfbx9ncjqdtqvgl,"1, 8, 9",19
seven6threeone,76three1,"7, 6, 1",71
five2sixrlfqftqzgks,526rlfqftqzgks,"5, 2, 6",56
6three1xzgnkrzl2krjtxr,631xzgnkrzl2krjtxr,"6, 3, 1, 2",62
zgkjvnkczstwolctzzlsevenone6bglzxscglsnjm,zgkjvnkczs2lctzzlseven16bglzxscglsnjm,"2, 1, 6",26
3kvxbzmpvrp,3kvxbzmpvrp,3,33
75vfz2,75vfz2,"7, 5, 2",72
vpnh25eight,vpnh258,"2, 5, 8",28
cnsdklvrsix2one,cnsdklvr621,"6, 2, 1",61
kvlsjffgfltbkckcznmgrr8,kvlsjffgfltbkckcznmgrr8,8,88
56foursix,5646,"5, 6, 4, 6",56
pmhgkfonehjdslqbdc4eight9,pmhgkf1hjdslqbdc489,"1, 4, 8, 9",19
twodmmsk57nx,2dmmsk57nx,"2, 5, 7",27
lfjvsz6fivekfivefivesdplsixpx,lfjvsz65kfivefivesdpl6px,"6, 5, 6",66
twofivethreeqdgf3eightthree,2fivethreeqdgf3eight3,"2, 3, 3",23
43sevenhnvsp,437hnvsp,"4, 3, 7",47
threeeightzh3threeqnncknpxgseven,3eightzh3threeqnncknpxg7,"3, 3, 7",37
4vbnmhgrmtsblrhrtoneljbbnvxmtvbfzssgone,4vbnmhgrmtsblrhrt1ljbbnvxmtvbfzssg1,"4, 1, 1",41
5kvqfxmlkgcmlmgbfiveeight,5kvqfxmlkgcmlmgb58,"5, 5, 8",58
55ztqqfzvmdppdpq1three3sixtwo,55ztqqfzvmdppdpq133six2,"5, 5, 1, 3, 3, 2",52
26bskpdjql,26bskpdjql,"2, 6",26
threehhgxmxdz1five94eight,3hhgxmxdz1five948,"3, 1, 9, 4, 8",38
52fourzcbcfknlvlrnvhbnldq,524zcbcfknlvlrnvhbnldq,"5, 2, 4",54
three49four8gshbnmxlc8vphklsvfmhnfss,34948gshbnmxlc8vphklsvfmhnfss,"3, 4, 9, 4, 8, 8",38
sevend95,7d95,"7, 9, 5",75
fbkmpcone555oneightkc,fbkmpc1555on8kc,"1, 5, 5, 5, 8",18
5qddnptqdoneonezczvnsl,5qddnptqd11zczvnsl,"5, 1, 1",51
78ttssqjfournddr986,78ttssqj4nddr986,"7, 8, 4, 9, 8, 6",76
three4five,345,"3, 4, 5",35
jb6,jb6,6,66
ht3hmrbxjsdvrsnlzvsqrj1rlcfggt5,ht3hmrbxjsdvrsnlzvsqrj1rlcfggt5,"3, 1, 5",35
5bgxfoursevenrhtcqf2dpkvfmsmh2,5bgx47rhtcqf2dpkvfmsmh2,"5, 4, 7, 2, 2",52
8rdsljbdggzseven4chgfppzmzkj,8rdsljbdggz74chgfppzmzkj,"8, 7, 4",84
hfcjpnrzsixfivefour6,hfcjpnrz6five46,"6, 4, 6",66
seveneight5hldmqltxonecbtknbeight6,7eight5hldmqltxonecbtknb86,"7, 5, 8, 6",76
6ninetztvlzdmgj2xzbtk,69tztvlzdmgj2xzbtk,"6, 9, 2",62
three988twodndrqvqpq,39882dndrqvqpq,"3, 9, 8, 8, 2",32
4threejkrpgtlhgg6five,43jkrpgtlhgg65,"4, 3, 6, 5",45
4kgxgmprssixseven,4kgxgmprs67,"4, 6, 7",47
spfpone16,spfp116,"1, 1, 6",16
xcpqvrthreemrggrvghqcgbqtkknvvk5,xcpqvr3mrggrvghqcgbqtkknvvk5,"3, 5",35
2three84bxtwo,2384bx2,"2, 3, 8, 4, 2",22
gjmv82mgnqqgnzcgcd,gjmv82mgnqqgnzcgcd,"8, 2",82
3nine4seven,3947,"3, 9, 4, 7",37
9twosnine,92s9,"9, 2, 9",99
nxfmfour8bgcgdkvb,nxfm48bgcgdkvb,"4, 8",48
8three6one,8361,"8, 3, 6, 1",81
bxvxksbbdn3knpdc6stfbxffjggfglc,bxvxksbbdn3knpdc6stfbxffjggfglc,"3, 6",36
sevenmfpxjgnpb743five6,7mfpxjgnpb74356,"7, 7, 4, 3, 5, 6",76
seven7sm,77sm,"7, 7",77
8qxbbcxjvppeightwot,8qxbbcxjvpp8wot,"8, 8",88
fivetwotwo1seven8r,5twotwo178r,"5, 1, 7, 8",58
96eightnrbeight84,968nrb884,"9, 6, 8, 8, 8, 4",94
gljg4fiveone,gljg451,"4, 5, 1",41
8nine6sevenmllmmchzjxb,8967mllmmchzjxb,"8, 9, 6, 7",87
3twosixdcgl,326dcgl,"3, 2, 6",36
6xsfmfjjnz6vstfvhndhlklrsc73kljcseven,6xsfmfjjnz6vstfvhndhlklrsc73kljc7,"6, 6, 7, 3, 7",67
threefour1,341,"3, 4, 1",31
tqtlxckrrch5jone9,tqtlxckrrch5j19,"5, 1, 9",59
9qjsntszxb,9qjsntszxb,9,99
ninetwopqfnsrxrfstwod8one,9twopqfnsrxrfstwod81,"9, 8, 1",91
6eight85,6885,"6, 8, 8, 5",65
four63vgjflnctzssfstjx113,463vgjflnctzssfstjx113,"4, 6, 3, 1, 1, 3",43
1vhshftmrbseventhreetwoeight,1vhshftmrb7threetwo8,"1, 7, 8",18
51bntvpdmxfznine5hbt,51bntvpdmxfz95hbt,"5, 1, 9, 5",55
fivebpcntvnklxxseven9,5bpcntvnklxx79,"5, 7, 9",59
2xq,2xq,2,22
vjcbktqbxd55zhdxrhjqnr,vjcbktqbxd55zhdxrhjqnr,"5, 5",55
bxqndkhjg1sixvjct4,bxqndkhjg16vjct4,"1, 6, 4",14
2two1three,2213,"2, 2, 1, 3",23
kkconeight5eight9,kkc1ight589,"1, 5, 8, 9",19
gz6two,gz62,"6, 2",62
dmctnkrmone7fourdfqcfone3,dmctnkrm17fourdfqcf13,"1, 7, 1, 3",13
9oneightcb,91ightcb,"9, 1",91
fiveqzjsvjqlsd99kpsixone,5qzjsvjqlsd99kpsix1,"5, 9, 9, 1",51
8fivehfphnvtdf,85hfphnvtdf,"8, 5",85
3six8jrrlnpj,368jrrlnpj,"3, 6, 8",38
1six53hpmgsfqfourxmfmdqds,1653hpmgsfq4xmfmdqds,"1, 6, 5, 3, 4",14
eight7ljkrn3cntjv,87ljkrn3cntjv,"8, 7, 3",83
7rkscrcchttwoggxktqdptwodpkcsgpbseven,7rkscrccht2ggxktqdptwodpkcsgpb7,"7, 2, 7",77
eightthreeseven9threebdlskshg,8threeseven93bdlskshg,"8, 9, 3",83
18xpklsg,18xpklsg,"1, 8",18
2sevenjlscgksv,27jlscgksv,"2, 7",27
rmr3784sevenbgqfhklhl,rmr37847bgqfhklhl,"3, 7, 8, 4, 7",37
dbmtkvthree9mmqzfvmhpthreefivethreetwo,dbmtkv39mmqzfvmhpthreefivethree2,"3, 9, 2",32
566sixeightone6fiveone,5666eightone6five1,"5, 6, 6, 6, 6, 1",51
sixtwokf9,62kf9,"6, 2, 9",69
lzgsrdmnl2xpps,lzgsrdmnl2xpps,2,22
zlbmfmxtvhvng1eight,zlbmfmxtvhvng18,"1, 8",18
1nine76ninegpc,19769gpc,"1, 9, 7, 6, 9",19
8onesevenxqjqrxflrb1,817xqjqrxflrb1,"8, 1, 7, 1",81
2dhthree6sixthree,2dh36six3,"2, 3, 6, 3",23
4eight16,4816,"4, 8, 1, 6",46
2threenvllhnkqthreelhfnbp1gmkcgdf,23nvllhnkq3lhfnbp1gmkcgdf,"2, 3, 3, 1",21
5threeeightthreeeight,53eightthree8,"5, 3, 8",58
qjltlxkptr7threezplpxvqgrrn5,qjltlxkptr73zplpxvqgrrn5,"7, 3, 5",75
ftkjg8onedxjcnmrsmf6foursctg5,ftkjg81dxjcnmrsmf64sctg5,"8, 1, 6, 4, 5",85
threenks5,3nks5,"3, 5",35
btseven2dlqjqpsnhxqmvqnjx,bt72dlqjqpsnhxqmvqnjx,"7, 2",72
43four,434,"4, 3, 4",44
64thknbt3three,64thknbt33,"6, 4, 3, 3",63
jgghlcsxl4gtwo9gfdcgxfour,jgghlcsxl4g29gfdcgx4,"4, 2, 9, 4",44
mvdkntknjf1stttccdntnrxhhdzgnrzznineseven,mvdkntknjf1stttccdntnrxhhdzgnrzz97,"1, 9, 7",17
2nine4nine,2949,"2, 9, 4, 9",29
4s6eight66616,4s6866616,"4, 6, 8, 6, 6, 6, 1, 6",46
r4eightjfldjbqhcpxnhmsmzsjm,r48jfldjbqhcpxnhmsmzsjm,"4, 8",48
3smktnsbtjm27cpkzvnjxone,3smktnsbtjm27cpkzvnjx1,"3, 2, 7, 1",31
hvtccdslkb83xmlpktzbfournlklrqfxone,hvtccdslkb83xmlpktzb4nlklrqfx1,"8, 3, 4, 1",81
seven5twosix9,75two69,"7, 5, 6, 9",79
6dcqcfvcrbs8pxphlrrlvqlmjqfrlfoursixseven,6dcqcfvcrbs8pxphlrrlvqlmjqfrl4six7,"6, 8, 4, 7",67
qntwofivezcpfknsvq51,qn25zcpfknsvq51,"2, 5, 5, 1",21
kdvszdf9tzkbhmthn,kdvszdf9tzkbhmthn,9,99
79dcrnqfrnine,79dcrnqfr9,"7, 9, 9",79
dh8hrfvk2nine1fivefourseven,dh8hrfvk291fivefour7,"8, 2, 9, 1, 7",87
rphmhjjnthree1threekbpbjhfk2threeggzjsz,rphmhjjn31threekbpbjhfk23ggzjsz,"3, 1, 2, 3",33
fhfive3vcflkznnpfive,fh53vcflkznnp5,"5, 3, 5",55
sp19onesixtwo5,sp191six25,"1, 9, 1, 2, 5",15
eight2ninejc4fivedgffn,82ninejc45dgffn,"8, 2, 4, 5",85
m5ffive,m5f5,"5, 5",55
436,436,"4, 3, 6",46
khpvrkl27twotwo,khpvrkl2722,"2, 7, 2, 2",22
7fnbzfdsqeight5fourone5one,7fnbzfdsq85fourone51,"7, 8, 5, 5, 1",71
eight92nine48fivecnhzhg9,892nine485cnhzhg9,"8, 9, 2, 4, 8, 5, 9",89
83mkhqxtdt,83mkhqxtdt,"8, 3",83
fivezvmqbczkgclsxfour3eightthreethree,5zvmqbczkgclsxfour3eightthree3,"5, 3, 3",53
sixsixxlmh6,66xlmh6,"6, 6, 6",66
sixfive98,6598,"6, 5, 9, 8",68
fourttlpxqponetwokn8tvkmrk66,4ttlpxqpone2kn8tvkmrk66,"4, 2, 8, 6, 6",46
1chfcvrmxbtwo4,1chfcvrmxb24,"1, 2, 4",14
sevensix1rlcnmbhs4,761rlcnmbhs4,"7, 6, 1, 4",74
eightftbfczpt8cgcnnck,8ftbfczpt8cgcnnck,"8, 8",88
fourfivessnxfmlzzfiveseven24mfbfx,4fivessnxfmlzzfive724mfbfx,"4, 7, 2, 4",44
49lqkxcxtjs2jdsbkmrvfninesix56,49lqkxcxtjs2jdsbkmrvf9656,"4, 9, 2, 9, 6, 5, 6",46
fknjdjqcnm66hrktq,fknjdjqcnm66hrktq,"6, 6",66
1three24four6,132446,"1, 3, 2, 4, 4, 6",16
rpxtwone83,rpx2ne83,"2, 8, 3",23
5vnntgqnrpjh537ninebbkcs6,5vnntgqnrpjh5379bbkcs6,"5, 5, 3, 7, 9, 6",56
three5mjmzhht57,35mjmzhht57,"3, 5, 5, 7",37
six4gfqcdbdhx96jvhktthree6,64gfqcdbdhx96jvhkt36,"6, 4, 9, 6, 3, 6",66
sevendbssnxndrdxlbvssrt8dtrgcxxsixonehhstdr,7dbssnxndrdxlbvssrt8dtrgcxxsix1hhstdr,"7, 8, 1",71
1sixfrzgtwo27pf,16frzg227pf,"1, 6, 2, 2, 7",17
6onevnnptcxhzgonethreetfxlsvxfmbqc,61vnnptcxhzgone3tfxlsvxfmbqc,"6, 1, 3",63
gmqnpqsix7three3one5tpklvdfzkbqftkhrj,gmqnpq67three315tpklvdfzkbqftkhrj,"6, 7, 3, 1, 5",65
rrslpzr1,rrslpzr1,1,11
7ninedsvqtgntjdsqqmhgpjkqxkbpgmkxl,79dsvqtgntjdsqqmhgpjkqxkbpgmkxl,"7, 9",79
sevenxhpjppgxqqz9nxgctwo,7xhpjppgxqqz9nxgc2,"7, 9, 2",72
7onefour,714,"7, 1, 4",74
one6dsntwo,16dsn2,"1, 6, 2",12
ghlgnsztmtsevenfour1bsctrtmp,ghlgnsztmt741bsctrtmp,"7, 4, 1",71
onehtzmgbpkjcninefive7bmlnvfhsreightthree,1htzmgbpkjcninefive7bmlnvfhsreight3,"1, 7, 3",13
2822,2822,"2, 8, 2, 2",22
3threerbtmxdngpq12oneeightone,33rbtmxdngpq12oneeight1,"3, 3, 1, 2, 1",31
threenine7z,397z,"3, 9, 7",37
9bvxxcsnzfive98,9bvxxcsnz598,"9, 5, 9, 8",98
djctwonefourlxshzxzmff313onesixkzxxhrrfour,djc2nefourlxshzxzmff313onesixkzxxhrr4,"2, 3, 1, 3, 4",24
sevensevengjbfbzmvlhlseven7bgdrreight,7sevengjbfbzmvlhlseven7bgdrr8,"7, 7, 8",78
seven34p5zpmnn,734p5zpmnn,"7, 3, 4, 5",75
r27threeqzx27gspmgncgth,r273qzx27gspmgncgth,"2, 7, 3, 2, 7",27
threeeighttwoone1jqghpbbl,3eighttwo11jqghpbbl,"3, 1, 1",31
onefqlnr9bmsvjsb2gcl4,1fqlnr9bmsvjsb2gcl4,"1, 9, 2, 4",14
threeqxjjjtqx4four2mbxfive,3qxjjjtqx4four2mbx5,"3, 4, 2, 5",35
5one9qnrzfdsixone,519qnrzfdsix1,"5, 1, 9, 1",51
three184eight,31848,"3, 1, 8, 4, 8",38
2hcnineseven1,2hc971,"2, 9, 7, 1",21
onejgnvdndtwoqpdxbnzhkg91sevenrfgv,1jgnvdndtwoqpdxbnzhkg917rfgv,"1, 9, 1, 7",17
hmgseven1fivek866,hmg715k866,"7, 1, 5, 8, 6, 6",76
seven4four1zpgc,7441zpgc,"7, 4, 4, 1",71
dl8three5,dl835,"8, 3, 5",85
7two2,722,"7, 2, 2",72
hbglb9719,hbglb9719,"9, 7, 1, 9",99
1zsgbsmmgprkmgssvnrbv7,1zsgbsmmgprkmgssvnrbv7,"1, 7",17
5sixfourrfbbvmlrjfourl,56fourrfbbvmlrj4l,"5, 6, 4",54
three63sixseven5,363six75,"3, 6, 3, 7, 5",35
seven3eightthree318five,73eightthree3185,"7, 3, 3, 1, 8, 5",75
6brhdvjnz,6brhdvjnz,6,66
onesevenfivefour5four413,1sevenfivefour54413,"1, 5, 4, 4, 1, 3",13
two5689seventhree9,25689seven39,"2, 5, 6, 8, 9, 3, 9",29
59nczhdqzdr,59nczhdqzdr,"5, 9",59
3vsxmbrfkljfxlkxm1x,3vsxmbrfkljfxlkxm1x,"3, 1",31
6nm6k5three47,6nm6k5347,"6, 6, 5, 3, 4, 7",67
451sixxkcncfqr,4516xkcncfqr,"4, 5, 1, 6",46
xsixonevns4seven3vlxpfcttwo,x6onevns4seven3vlxpfct2,"6, 4, 3, 2",62
kl6onehlrmxgbfourfour8,kl61hlrmxgbfour48,"6, 1, 4, 8",68
qvfclpxqfivethreeninesixl521,qvfclpxq5threenine6l521,"5, 6, 5, 2, 1",51
33hpkbonepsnfp8nine2,33hpkb1psnfp892,"3, 3, 1, 8, 9, 2",32
three41fivetzzfvmlsfive5two,341fivetzzfvmlsfive52,"3, 4, 1, 5, 2",32
9two6vgvxhnfjone,926vgvxhnfj1,"9, 2, 6, 1",91
six68five8pbgrvl2six,668five8pbgrvl26,"6, 6, 8, 8, 2, 6",66
sphsdpxfdtgvmmtwoone8eight,sphsdpxfdtgvmm2one88,"2, 8, 8",28
z726vlhseven,z726vlh7,"7, 2, 6, 7",77
nine9ninesix6xmgbsgfmpgxkzgpzlxqnjsqhr,99nine66xmgbsgfmpgxkzgpzlxqnjsqhr,"9, 9, 6, 6",96
fourknflljrbrq63five,4knflljrbrq635,"4, 6, 3, 5",45
42onef6seven,421f67,"4, 2, 1, 6, 7",47
39njjvzt7threetkccstz,39njjvzt73tkccstz,"3, 9, 7, 3",33
